technology_id,category_id
blacklight,codebase
content_mine,service
content_mine,codebase
dataverse,codebase
dokieli,codebase
dokieli,service
dspace,codebase
editoria,service
editoria,codebase
electric_book,service
enhanced_networked_monographs,project
eprints,package
eprints,service
epub_js,codebase
fedora,codebase
fidus_writer,service
fidus_writer,codebase
fulcrum,service
grobid,codebase
haplo_repository,codebase
heliotrope,codebase
hirmeos_oa_metrics,codebase
hugo,codebase
hy-phen,codebase
hyku,codebase
hykuup,codebase
hyphenopoly,codebase
hypher,codebase
hypothesis,service
hypothesis,codebase
hyrax,codebase
invenio,codebase
janeway,codebase
jupiter_notebook,codebase
katex,codebase
le-tex_transpect,codebase
lens,codebase
libero_producer,service
libero_publisher,service
libero_reviewer,service
libero_producer,codebase
libero_publisher,codebase
libero_reviewer,codebase
lodel,package
manifold_scholarship,codebase
mathjax,codebase
mukurtu,codebase
ojs_3,codebase
omeka,codebase
open_monograph_press,codebase
open_typesetting_stack,codebase
osf_preprints,codebase
paged_js,codebase
pandoc,codebase
paperbuzz,service
phenom_reviewer,service
phenom_screener,service
pressbooks,service
prosemirror,codebase
pubpub,service
pubpub,codebase
pubsweet,codebase
quire,codebase
readium,codebase
rebus_ink,service
rua,codebase
samvera,codebase
scalar,service
scholastica,service
shiny,service
solr,codebase
stencila,codebase
tectonic,codebase
texture,project
ubiquity_repositories,service
vega,project
vivliostyle,codebase
wax,codebase
xsweet,codebase
zotero,service
ruby,base_tech
java,base_tech
javascript,base_tech
go,base_tech
html,base_tech
css,base_tech
python,base_tech
perl,base_tech
xslt,base_tech
xproc,base_tech
php,base_tech
haskell,base_tech
typescript,base_tech
r,base_tech
c,base_tech
rust,base_tech
jats,standard
oai-pmh,standard
resourcesync,standard
counter,standard
ldn,standard
sword,standard
episciences,framework
episciences,system
pci,system
